x_coord,y_coord,date,rain,evap,depth,scaled_depth,medianDepth,Condition,area_ha
-2.3673832958,13.4528805676,2000-01-01,0,4.873634,0,0,37.780055,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-02,0,4.925239,0,0,37.383795,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-03,0,4.536294,0,0,29.25943,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-04,0,4.920983,0,0,28.86338,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-05,0,4.80444,0,0,28.806415,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-06,0,4.896516,0,0,35.82588,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-07,0,4.862866,0,0,35.43274,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-08,0,5.161496,0,0,35.024665,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-09,0,5.284876,0,0,34.61042,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-10,0,5.170193,0,0,34.20191,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-11,0,5.091512,0,0,33.797335,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-12,0,4.973818,0,0,33.398645,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-13,0,5.409043,0,0,32.978195,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-14,0,5.326585,0,0,32.561865,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-15,0,5.260582,0,0,32.148835,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-16,0,5.265955,0,0,31.735535,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-17,0,5.325054,0,0,31.319285,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-18,0,5.387198,0,0,30.899925,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-19,0,5.535591,0,0,30.473145,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-20,0,5.314023,0,0,30.057445,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-21,0,5.489182,0,0,29.632985,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-22,0,5.694965,0,0,29.19824,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-23,0,5.617965,0,0,28.76734,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-24,0,5.623645,0,0,28.33616,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-25,0,5.496813,0,0,27.911315,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-26,0,5.476017,0,0,27.487515,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-27,0,5.725309,0,0,27.05125,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-28,0,5.820491,0,0,26.61023,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-29,0,4.993182,0,0,26.21057,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-30,0,5.519413,0,0,25.7846,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-01-31,0,5.972769,0,0,25.33596,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-02-01,0,5.895879,0,0,24.89117,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-02-02,0,6.086193,0,0,24.43686,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-02-03,0,6.027148,0,0,23.9855,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-02-04,0,6.297164,0,0,23.520645,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-02-05,0,6.021928,0,0,23.069545,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-02-06,0,5.777218,0,0,22.630685,Near-Dry,10.8215999603
-2.3673832958,13.4528805676,2000-02-07,0,5.456136,0,0,22.207875,Near-Dry,10.8215999603
