x_coord,y_coord,date,rain,evap,depth,scaled_depth,medianDepth,Condition,area_ha
-0.1788806505,12.7000846525,2000-01-01,0,5.171039,0,0,41.84904,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-02,0,5.341646,0,0,41.431955,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-03,0,4.723965,0,0,40.418745,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-04,0,5.205935,0,0,40.008445,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-05,0,5.053929,0,0,39.60575,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-06,0,5.150056,0,0,39.82526,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-07,0,5.140581,0,0,39.41823,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-08,0,5.435826,0,0,38.996435,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-09,0,5.612346,0,0,38.56582,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-10,0,5.435647,0,0,38.144035,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-11,0,5.610863,0,0,37.713495,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-12,0,5.308978,0,0,37.298045,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-13,0,5.62911,0,0,36.86659,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-14,0,5.551329,0,0,36.439025,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-15,0,5.616984,0,0,36.008175,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-16,0,5.590964,0,0,35.57863,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-17,0,5.618088,0,0,35.147725,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-18,0,5.74365,0,0,34.71054,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-19,0,5.724564,0,0,34.274315,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-20,0,5.709542,0,0,33.838835,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-21,0,5.647606,0,0,33.406455,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-22,0,5.863931,0,0,32.96326,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-23,0,5.775856,0,0,32.524465,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-24,0,5.871587,0,0,32.080885,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-25,0,5.687843,0,0,31.646495,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-26,0,5.798566,0,0,31.206565,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-27,0,6.044768,0,0,30.75433,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-28,0,6.062207,0,0,30.301215,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-29,0,5.34319,0,0,29.884055,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-30,0,5.938062,0,0,29.43715,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-01-31,0,6.1596,0,0,28.97917,Near-Dry,106.0090026855
-0.1788806505,12.7000846525,2000-02-01,0,6.13863,0,0,28.52224,Near-Dry,106.0090026855
