x_coord,y_coord,date,rain,evap,depth,scaled_depth,medianDepth,Condition,area_ha
-1.1500589104,13.1958338581,2000-01-01,0,5.061982,0,0,30.432115,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-02,0,5.202636,0,0,30.19889,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-03,0,4.741899,0,0,29.1305,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-04,0,5.094162,0,0,28.72579,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-05,0,4.932928,0,0,28.329145,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-06,0,4.954982,0,0,28.61269,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-07,0,5.019301,0,0,28.211725,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-08,0,5.349198,0,0,27.794265,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-09,0,5.588265,0,0,27.364855,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-10,0,5.408548,0,0,26.944425,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-11,0,5.479084,0,0,26.520475,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-12,0,5.092263,0,0,26.11586,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-13,0,5.586102,0,0,25.686555,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-14,0,5.487315,0,0,25.262185,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-15,0,5.486371,0,0,24.83787,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-16,0,5.569401,0,0,24.4094,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-17,0,5.511321,0,0,23.98383,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-18,0,5.599303,0,0,23.553865,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-19,0,5.842507,0,0,23.11174,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-20,0,5.514709,0,0,22.686005,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-21,0,5.533884,0,0,22.25931,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-22,0,5.904261,0,0,21.8141,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-23,0,5.761847,0,0,21.376005,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-24,1.269724,5.808287,0,0,20.93559,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-25,0,5.66395,0,0,20.502395,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-26,0,5.633029,0,0,20.070745,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-27,0,5.977669,0,0,19.62186,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-28,0,6.064149,0,0,19.168655,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-29,0,4.908381,0,0,18.773235,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-30,0,5.808982,0,0,18.332785,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-01-31,0,6.162495,0,0,17.87466,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-02-01,0,6.105554,0,0,17.419385,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-02-02,0,6.337234,0,0,16.95252,Near-Dry,355.1969909668
-1.1500589104,13.1958338581,2000-02-03,0,6.208346,0,0,16.492105,Near-Dry,355.1969909668
