x_coord,y_coord,date,rain,evap,depth,scaled_depth,medianDepth,Condition,area_ha
-1.6672053922,12.9170456411,2000-01-01,0,4.973345,0,0,26.095115,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-02,0,5.058948,0,0,25.900505,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-03,0,4.64813,0,0,23.142525,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-04,0,5.009328,0,0,22.74206,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-05,0,4.86951,0,0,22.348585,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-06,0,4.93156,0,0,24.32758,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-07,0,4.956377,0,0,23.92976,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-08,0,5.26951,0,0,23.516285,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-09,1,5.444391,0,0,23.094065,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-10,0,5.297923,0,0,22.67917,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-11,0,5.236065,0,0,22.267365,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-12,0,5.026291,0,0,21.86605,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-13,0,5.483734,0,0,21.441865,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-14,0,5.399186,0,0,21.021905,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-15,0,5.335584,0,0,20.605125,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-16,0,5.412533,0,0,20.1845,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-17,0,5.412974,0,0,19.76385,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-18,0,5.497506,0,0,19.338975,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-19,0,5.691438,0,0,18.9044,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-20,0,5.392128,0,0,18.484795,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-21,0,5.536898,0,0,18.05795,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-22,0,5.804654,0,0,17.617715,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-23,0,5.718223,0,0,17.181805,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-24,2,5.729633,0,0,16.745325,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-25,0,5.574645,0,0,16.316595,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-26,0,5.599235,0,0,15.88663,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-27,0,5.83636,0,0,15.444815,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-28,0,5.977931,0,0,14.99592,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-29,0,4.948038,0,0,14.598515,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-30,0,5.659495,0,0,14.16554,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-01-31,0,6.10825,0,0,13.71013,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-01,0,5.985942,0,0,13.26083,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-02,0,6.201821,0,0,12.80074,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-03,0,6.105396,0,0,12.34547,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-04,0,6.386226,0,0,11.87616,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-05,0,6.083908,0,0,11.466695,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-06,0,5.785879,0,0,11.0274,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-07,0,5.522764,0,0,10.60126,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-08,0,6.212096,0,0,10.140655,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-09,0,5.961248,0,0,9.692595,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-10,0,6.001128,0,0,9.24254,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-11,0,6.540399,0,0,8.813335,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-12,0,6.135863,0,0,8.35654,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-13,0,6.258263,0,0,7.89363,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-14,0,5.843761,0,0,7.45144,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-15,0,5.756729,0,0,7.013605,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-16,0,6.144282,0,0,6.55639,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-17,0,5.665645,0,0,6.12311,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-18,0,5.51515,0,0,5.69735,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-19,0,5.800852,0,0,5.25731,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-20,0,6.252244,0,0,4.794696,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-21,0,6.514934,0,0,4.318949,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-22,0,6.773659,0,0,3.8302665,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-23,0,6.826336,0,0,3.33895,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-24,0,6.608252,0,0,2.858537,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-25,0,6.912201,0,0,2.362927,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-26,0,6.23111,0,0,1.901372,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-27,0,6.678212,0,0,1.417461,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-02-28,0,6.372096,0,0,0.9488565,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-03-01,0,6.201458,0,0,0.4887834,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-03-02,0,6.722038,0,0,0.002681535,Near-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-03-03,0,6.513132,0,0,0,Seasonally-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-03-04,0,6.827719,0,0,0,Seasonally-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-03-05,0,6.970396,0,0,0,Seasonally-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-03-06,0,6.946671,0,0,0,Seasonally-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-03-07,0,6.76112,0,0,0,Seasonally-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-03-08,0,6.468968,0,0,0,Seasonally-Dry,40.0881996155
-1.6672053922,12.9170456411,2000-03-09,0,6.237021,0,0,0,Seasonally-Dry,40.0881996155
