x_coord,y_coord,date,rain,evap,depth,scaled_depth,medianDepth,Condition,area_ha
-2.1490108616,13.7801156595,2000-01-01,0,4.949796,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-02,0,4.973534,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-03,0,4.508393,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-04,0,5.0291,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-05,0,4.966559,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-06,0,5.000461,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-07,0,4.897165,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-08,0,5.3091,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-09,0,5.494819,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-10,0,5.260715,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-11,0,5.322403,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-12,0,5.033537,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-13,0,5.453254,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-14,0,5.359556,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-15,0,5.388012,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-16,0,5.304675,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-17,0,5.488052,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-18,0,5.411411,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-19,0,5.313172,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-20,0,5.392794,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-21,0,5.610182,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-22,0,5.637908,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-23,0,5.590711,0,0,0,Seasonally-Dry,91.6427993774
-2.1490108616,13.7801156595,2000-01-24,0,5.659549,0,0,0,Seasonally-Dry,91.6427993774
