x_coord,y_coord,date,rain,evap,depth,scaled_depth,medianDepth,Condition,area_ha
-2.6912641607,13.5337769548,2000-01-01,0,4.956739,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-02,0,5.005414,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-03,0,4.580059,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-04,0,5.012806,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-05,0,4.913572,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-06,0,5.014693,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-07,0,4.942834,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-08,0,5.250257,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-09,0,5.342312,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-10,0,5.223514,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-11,0,5.149363,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-12,0,5.060217,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-13,0,5.471616,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-14,0,5.40428,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-15,0,5.344498,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-16,0,5.286718,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-17,0,5.380167,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-18,0,5.480473,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-19,0,5.462542,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-20,0,5.358452,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-21,0,5.567594,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-22,0,5.72067,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-23,0,5.64111,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-24,0,5.674618,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-25,0,5.59169,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-26,0,5.440088,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-27,0,5.811065,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-28,0,5.809827,0,0,0,Seasonally-Dry,2.2811698914
-2.6912641607,13.5337769548,2000-01-29,0,5.235694,0,0,0,Seasonally-Dry,2.2811698914
