admin2,indicator,choice,value,context
boulkiemde,critical_handwashing_times,ablution,0.20034419009937574,bfa_2020
comoe,critical_handwashing_times,ablution,0.38252474531929015,bfa_2020
ganzourgou,critical_handwashing_times,ablution,0.48032909232799453,bfa_2020
gnagna,critical_handwashing_times,ablution,0.24132254080676083,bfa_2020
gourma,critical_handwashing_times,ablution,0.3294300692934331,bfa_2020
houet,critical_handwashing_times,ablution,0.17976680223248753,bfa_2020
ioba,critical_handwashing_times,ablution,0.3721903775955499,bfa_2020
kadiogo,critical_handwashing_times,ablution,0.6478398221021648,bfa_2020
kenedougou,critical_handwashing_times,ablution,0.34798815287642915,bfa_2020
komonjdjari,critical_handwashing_times,ablution,0.43994295303304126,bfa_2020
kompienga,critical_handwashing_times,ablution,0.4420700722984009,bfa_2020
kossi,critical_handwashing_times,ablution,0.704883785052296,bfa_2020
koulpelogo,critical_handwashing_times,ablution,0.22803128326373018,bfa_2020
kouritenga,critical_handwashing_times,ablution,0.2717032755521101,bfa_2020
kourweogo,critical_handwashing_times,ablution,0.48234850161620074,bfa_2020
leraba,critical_handwashing_times,ablution,0.625,bfa_2020
loroum,critical_handwashing_times,ablution,0.8653287247509268,bfa_2020
mouhoun,critical_handwashing_times,ablution,0.5252182659359373,bfa_2020
nahouri,critical_handwashing_times,ablution,0.3527378108314538,bfa_2020
namentenga,critical_handwashing_times,ablution,0.5246743314909061,bfa_2020
nayala,critical_handwashing_times,ablution,0.37969701193598865,bfa_2020
oubritenga,critical_handwashing_times,ablution,0.44369238624183255,bfa_2020
oudalan,critical_handwashing_times,ablution,0.6822714726853063,bfa_2020
passore,critical_handwashing_times,ablution,0.5187790319691838,bfa_2020
poni,critical_handwashing_times,ablution,0.5110979628632655,bfa_2020
sanguie,critical_handwashing_times,ablution,0.13931401934339407,bfa_2020
sanmatenga,critical_handwashing_times,ablution,0.4962662109553924,bfa_2020
seno,critical_handwashing_times,ablution,0.6407341371402003,bfa_2020
sissili,critical_handwashing_times,ablution,0.40723237501432635,bfa_2020
soum,critical_handwashing_times,ablution,0.7558256424343325,bfa_2020
sourou,critical_handwashing_times,ablution,0.7405343307446924,bfa_2020
tapoa,critical_handwashing_times,ablution,0.39432015643446244,bfa_2020
tuy,critical_handwashing_times,ablution,0.009356792897185929,bfa_2020
yagha,critical_handwashing_times,ablution,0.7878667976436791,bfa_2020
yatenga,critical_handwashing_times,ablution,0.7262435096521993,bfa_2020
ziro,critical_handwashing_times,ablution,0.5030631744432783,bfa_2020
zondoma,critical_handwashing_times,ablution,0.5719770654576857,bfa_2020
zoundweogo,critical_handwashing_times,ablution,0.3689439123650672,bfa_2020
bale,critical_handwashing_times,retour_champ,0.2887526134274812,bfa_2020
bam,critical_handwashing_times,retour_champ,0.2775620921330694,bfa_2020
banwa,critical_handwashing_times,retour_champ,0.3532331218714823,bfa_2020
bazega,critical_handwashing_times,retour_champ,0.29829551810997823,bfa_2020
bougouriba,critical_handwashing_times,retour_champ,0.25,bfa_2020
boulgou,critical_handwashing_times,retour_champ,0.21471857749618892,bfa_2020
boulkiemde,critical_handwashing_times,retour_champ,0.2592966554729132,bfa_2020
comoe,critical_handwashing_times,retour_champ,0.26796266401252744,bfa_2020
ganzourgou,critical_handwashing_times,retour_champ,0.3853020455737574,bfa_2020
gnagna,critical_handwashing_times,retour_champ,0.5724391709894495,bfa_2020
gourma,critical_handwashing_times,retour_champ,0.42675129371633597,bfa_2020
houet,critical_handwashing_times,retour_champ,0.13211632405171975,bfa_2020
ioba,critical_handwashing_times,retour_champ,0.3768006057962953,bfa_2020
kadiogo,critical_handwashing_times,retour_champ,0.0389842022987255,bfa_2020
kenedougou,critical_handwashing_times,retour_champ,0.35491084081050367,bfa_2020
komonjdjari,critical_handwashing_times,retour_champ,0.42882928642473145,bfa_2020
kompienga,critical_handwashing_times,retour_champ,0.3732345748135671,bfa_2020
kossi,critical_handwashing_times,retour_champ,0.3585559155956924,bfa_2020
koulpelogo,critical_handwashing_times,retour_champ,0.15834467661341053,bfa_2020
kouritenga,critical_handwashing_times,retour_champ,0.2503620918632095,bfa_2020
kourweogo,critical_handwashing_times,retour_champ,0.791750173868396,bfa_2020
