admin2,indicator,choice,value,context,phase
gnagna,critical_handwashing_times,ablution,0.24132254080676083,bfa_2020,NA
gourma,critical_handwashing_times,ablution,0.3294300692934331,bfa_2020,NA
houet,critical_handwashing_times,ablution,0.17976680223248753,bfa_2020,NA
ioba,critical_handwashing_times,ablution,0.3721903775955499,bfa_2020,NA
kadiogo,critical_handwashing_times,ablution,0.6478398221021648,bfa_2020,NA
kenedougou,critical_handwashing_times,ablution,0.34798815287642915,bfa_2020,NA
komonjdjari,critical_handwashing_times,ablution,0.43994295303304126,bfa_2020,NA
kompienga,critical_handwashing_times,ablution,0.4420700722984009,bfa_2020,NA
kossi,critical_handwashing_times,ablution,0.704883785052296,bfa_2020,NA
koulpelogo,critical_handwashing_times,ablution,0.22803128326373018,bfa_2020,NA
kouritenga,critical_handwashing_times,ablution,0.2717032755521101,bfa_2020,NA
kourweogo,critical_handwashing_times,ablution,0.48234850161620074,bfa_2020,NA
leraba,critical_handwashing_times,ablution,0.625,bfa_2020,NA
loroum,critical_handwashing_times,ablution,0.8653287247509268,bfa_2020,NA
mouhoun,critical_handwashing_times,ablution,0.5252182659359373,bfa_2020,NA
nahouri,critical_handwashing_times,ablution,0.3527378108314538,bfa_2020,NA
namentenga,critical_handwashing_times,ablution,0.5246743314909061,bfa_2020,NA
nayala,critical_handwashing_times,ablution,0.37969701193598865,bfa_2020,NA
oubritenga,critical_handwashing_times,ablution,0.44369238624183255,bfa_2020,NA
oudalan,critical_handwashing_times,ablution,0.6822714726853063,bfa_2020,NA
passore,critical_handwashing_times,ablution,0.5187790319691838,bfa_2020,NA
poni,critical_handwashing_times,ablution,0.5110979628632655,bfa_2020,NA
sanguie,critical_handwashing_times,ablution,0.13931401934339407,bfa_2020,NA
sanmatenga,critical_handwashing_times,ablution,0.4962662109553924,bfa_2020,NA
seno,critical_handwashing_times,ablution,0.6407341371402003,bfa_2020,NA
sissili,critical_handwashing_times,ablution,0.40723237501432635,bfa_2020,NA
soum,critical_handwashing_times,ablution,0.7558256424343325,bfa_2020,NA
sourou,critical_handwashing_times,ablution,0.7405343307446924,bfa_2020,NA
tapoa,critical_handwashing_times,ablution,0.39432015643446244,bfa_2020,NA
tuy,critical_handwashing_times,ablution,0.009356792897185929,bfa_2020,NA
yagha,critical_handwashing_times,ablution,0.7878667976436791,bfa_2020,NA
yatenga,critical_handwashing_times,ablution,0.7262435096521993,bfa_2020,NA
ziro,critical_handwashing_times,ablution,0.5030631744432783,bfa_2020,NA
zondoma,critical_handwashing_times,ablution,0.5719770654576857,bfa_2020,NA
zoundweogo,critical_handwashing_times,ablution,0.3689439123650672,bfa_2020,NA
bale,critical_handwashing_times,retour_champ,0.2887526134274812,bfa_2020,NA
bam,critical_handwashing_times,retour_champ,0.2775620921330694,bfa_2020,NA
banwa,critical_handwashing_times,retour_champ,0.3532331218714823,bfa_2020,NA
bazega,critical_handwashing_times,retour_champ,0.29829551810997823,bfa_2020,NA
bougouriba,critical_handwashing_times,retour_champ,0.25,bfa_2020,NA
boulgou,critical_handwashing_times,retour_champ,0.21471857749618892,bfa_2020,NA
boulkiemde,critical_handwashing_times,retour_champ,0.2592966554729132,bfa_2020,NA
comoe,critical_handwashing_times,retour_champ,0.26796266401252744,bfa_2020,NA
ganzourgou,critical_handwashing_times,retour_champ,0.3853020455737574,bfa_2020,NA
gnagna,critical_handwashing_times,retour_champ,0.5724391709894495,bfa_2020,NA
gourma,critical_handwashing_times,retour_champ,0.42675129371633597,bfa_2020,NA
houet,critical_handwashing_times,retour_champ,0.13211632405171975,bfa_2020,NA
ioba,critical_handwashing_times,retour_champ,0.3768006057962953,bfa_2020,NA
kadiogo,critical_handwashing_times,retour_champ,0.0389842022987255,bfa_2020,NA
kenedougou,critical_handwashing_times,retour_champ,0.35491084081050367,bfa_2020,NA
komonjdjari,critical_handwashing_times,retour_champ,0.42882928642473145,bfa_2020,NA
kompienga,critical_handwashing_times,retour_champ,0.3732345748135671,bfa_2020,NA
kossi,critical_handwashing_times,retour_champ,0.3585559155956924,bfa_2020,NA
koulpelogo,critical_handwashing_times,retour_champ,0.15834467661341053,bfa_2020,NA
kouritenga,critical_handwashing_times,retour_champ,0.2503620918632095,bfa_2020,NA
kourweogo,critical_handwashing_times,retour_champ,0.791750173868396,bfa_2020,NA
