admin2,semaine,nb_cases_cholera,nb_cases_awd,nb_death_awd,nb_cases_meningitis,nb_cases_malaria,nb_cases_dengues,femme_local,homme_local,total_local,total,total_pdi,weights_adm2,nb_cases_cholera_twoWeeks_mean,nb_cases_awd_twoWeeks_mean,nb_death_awd_twoWeeks_mean,nb_cases_meningitis_twoWeeks_mean,nb_cases_malaria_twoWeeks_mean,nb_cases_dengues_twoWeeks_mean,nb_cases_cholera_per100k,nb_cases_awd_per100k,nb_death_awd_per100k,nb_cases_meningitis_per100k,nb_cases_malaria_per100k,nb_cases_dengues_per100k,nb_cases_cholera_twoWeeks_mean_per100k,nb_cases_awd_twoWeeks_mean_per100k,nb_death_awd_twoWeeks_mean_per100k,nb_cases_meningitis_twoWeeks_mean_per100k,nb_cases_malaria_twoWeeks_mean_per100k,nb_cases_dengues_twoWeeks_mean_per100k
bale,23,0,1,0,0,29,0,164538,160742,325280,336155,NA,0.012036696141303519,0,1.5,0,0,31.5,0,0,0.2974818164239711,0,0,8.62697267629516,0,0,0.44622272463595664,0,0,9.37067721735509,0
bale,24,0,1,0,0,35,0,164538,160742,325280,336155,NA,0.012036696141303519,0,1,0,0,32,0,0,0.2974818164239711,0,0,10.411863574838987,0,0,0.2974818164239711,0,0,9.519418125567075,0
bale,25,0,0,0,2,65,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0.5,0,1,50,0,0,0,0,0.5949636328479422,19.33631806755812,0,0,0.14874090821198555,0,0.2974818164239711,14.874090821198553,0
bale,26,0,0,0,0,56,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,1,60.5,0,0,0,0,0,16.65898171974238,0,0,0,0,0.2974818164239711,17.99764989365025,0
bale,27,0,0,0,0,72,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,64,0,0,0,0,0,21.418690782525918,0,0,0,0,0,19.03883625113415,0
bale,28,0,0,0,0,103,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,87.5,0,0,0,0,0,30.640627091669025,0,0,0,0,0,26.02965893709747,0
bale,29,0,0,0,0,121,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,112,0,0,0,0,0,35.9952997873005,0,0,0,0,0,33.31796343948476,0
bale,30,0,0,0,0,97,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,109,0,0,0,0,0,28.855736193125196,0,0,0,0,0,32.425517990212846,0
bale,31,0,0,0,0,100,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,98.5,0,0,0,0,0,29.748181642397107,0,0,0,0,0,29.30195891776115,0
bale,32,0,0,0,1,111,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0.5,105.5,0,0,0,0,0.2974818164239711,33.02048162306079,0,0,0,0,0.14874090821198555,31.38433163272895,0
