admin2,year,month,nb_events
bazega,2016,4,0
bazega,2016,5,0
bazega,2016,6,0
bazega,2016,7,0
bazega,2016,8,0
bazega,2016,9,0
bazega,2016,10,0
bazega,2016,11,0
bazega,2016,12,0
bazega,2017,1,0
bazega,2017,2,0
bazega,2017,3,0
bazega,2017,4,0
bazega,2017,5,0
bazega,2017,6,0
bazega,2017,7,2
bazega,2017,8,0
bazega,2017,9,0
bazega,2017,10,0
bazega,2017,11,1
bazega,2017,12,1
bazega,2018,1,0
bazega,2018,2,0
bazega,2018,3,0
bazega,2018,4,0
bazega,2018,5,1
bazega,2018,6,0
bazega,2018,7,0
bazega,2018,8,0
bazega,2018,9,0
bazega,2018,10,0
bazega,2018,11,0
bazega,2018,12,0
bazega,2019,1,1
bazega,2019,2,0
bazega,2019,3,0
bazega,2019,4,0
bazega,2019,5,1
bazega,2019,6,0
bazega,2019,7,0
bazega,2019,8,0
bazega,2019,9,0
bazega,2019,10,0
bazega,2019,11,0
bazega,2019,12,0
bazega,2020,1,0
bazega,2020,2,0
bazega,2020,3,0
bazega,2020,4,0
bazega,2020,5,0
bazega,2020,6,0
bazega,2020,7,0
bazega,2020,8,0
bazega,2020,9,0
bazega,2020,10,0
bazega,2020,11,0
bazega,2020,12,0
bougouriba,1997,2,0
bougouriba,1998,12,0
bougouriba,1999,1,0
bougouriba,1999,3,0
bougouriba,1999,4,0
bougouriba,1999,5,0
bougouriba,1999,6,0
bougouriba,1999,7,0
bougouriba,1999,8,0
bougouriba,1999,11,0
bougouriba,1999,12,0
bougouriba,2000,1,0
bougouriba,2000,4,0
bougouriba,2000,5,0
bougouriba,2000,10,0
bougouriba,2000,11,0
bougouriba,2000,12,0
bougouriba,2001,6,0
bougouriba,2001,7,0
bougouriba,2001,12,0
bougouriba,2002,2,0
bougouriba,2002,9,0
bougouriba,2003,10,0
bougouriba,2004,2,0
bougouriba,2004,6,0
bougouriba,2005,2,0
bougouriba,2005,10,0
bougouriba,2005,12,0
bougouriba,2006,5,0
bougouriba,2006,6,0
bougouriba,2006,7,0
bougouriba,2006,12,0
bougouriba,2007,10,0
bougouriba,2008,2,0
bougouriba,2008,3,0
bougouriba,2008,5,0
bougouriba,2008,6,3
bougouriba,2009,1,0
bougouriba,2010,2,0
bougouriba,2010,3,0
bougouriba,2010,4,0
bougouriba,2010,7,0
bougouriba,2011,1,0
bougouriba,2011,2,0
bougouriba,2011,3,1
bougouriba,2011,4,0
bougouriba,2011,5,0
bougouriba,2011,6,0
bougouriba,2011,7,0
bougouriba,2011,9,0
bougouriba,2011,12,0
bougouriba,2012,1,0
bougouriba,2012,2,0
bougouriba,2012,3,0
bougouriba,2012,4,0
bougouriba,2012,5,0
bougouriba,2012,6,0
bougouriba,2012,7,0
bougouriba,2012,8,0
bougouriba,2012,9,0
bougouriba,2012,10,0
bougouriba,2012,11,0
bougouriba,2012,12,0
bougouriba,2013,1,0
bougouriba,2013,2,0
bougouriba,2013,3,0
bougouriba,2013,5,0
bougouriba,2013,6,0
bougouriba,2013,7,0
bougouriba,2013,8,0
bougouriba,2013,9,0
bougouriba,2013,10,0
bougouriba,2013,11,0
bougouriba,2013,12,0
bougouriba,2014,1,0
bougouriba,2014,2,0
bougouriba,2014,3,0
bougouriba,2014,4,0
bougouriba,2014,5,0
bougouriba,2014,6,1
bougouriba,2014,7,0
bougouriba,2014,8,0
bougouriba,2014,9,1
bougouriba,2014,10,1
bougouriba,2014,11,0
bougouriba,2014,12,0
bougouriba,2015,1,0
bougouriba,2015,2,0
bougouriba,2015,3,0
bougouriba,2015,4,0
bougouriba,2015,5,0
bougouriba,2015,6,0
bougouriba,2015,7,0
bougouriba,2015,8,0
bougouriba,2015,9,0
bougouriba,2015,10,0
bougouriba,2015,11,0
bougouriba,2015,12,0
bougouriba,2016,1,0
bougouriba,2016,2,0
bougouriba,2016,3,0
bougouriba,2016,4,0
bougouriba,2016,5,0
bougouriba,2016,6,0
bougouriba,2016,7,0
bougouriba,2016,8,0
bougouriba,2016,9,0
bougouriba,2016,10,0
bougouriba,2016,11,0
bougouriba,2016,12,0
bougouriba,2017,1,0
bougouriba,2017,2,0
bougouriba,2017,3,0
bougouriba,2017,4,0
bougouriba,2017,5,0
bougouriba,2017,6,0
bougouriba,2017,7,0
bougouriba,2017,8,1
bougouriba,2017,9,0
bougouriba,2017,10,0
bougouriba,2017,11,0
bougouriba,2017,12,0
bougouriba,2018,1,0
bougouriba,2018,2,0
bougouriba,2018,3,0
bougouriba,2018,4,0
bougouriba,2018,5,0
bougouriba,2018,6,0
bougouriba,2018,7,0
bougouriba,2018,8,0
bougouriba,2018,9,0
bougouriba,2018,10,1
bougouriba,2018,11,1
bougouriba,2018,12,0
bougouriba,2019,1,3
bougouriba,2019,2,1
bougouriba,2019,3,0
bougouriba,2019,4,1
bougouriba,2019,5,1
bougouriba,2019,6,0
bougouriba,2019,7,0
bougouriba,2019,8,0
bougouriba,2019,9,1
bougouriba,2019,10,0
bougouriba,2019,11,0
bougouriba,2019,12,0
bougouriba,2020,1,3
bougouriba,2020,2,0
bougouriba,2020,3,0
bougouriba,2020,4,3
bougouriba,2020,5,0
bougouriba,2020,6,0
bougouriba,2020,7,0
bougouriba,2020,8,0
bougouriba,2020,9,0
bougouriba,2020,10,0
bougouriba,2020,11,0
bougouriba,2020,12,0
boulgou,1997,2,0
boulgou,1998,12,0
boulgou,1999,1,0
boulgou,1999,3,0
boulgou,1999,4,0
boulgou,1999,5,0
boulgou,1999,6,0
boulgou,1999,7,0
boulgou,1999,8,0
boulgou,1999,11,0
boulgou,1999,12,0
boulgou,2000,1,0
boulgou,2000,4,0
boulgou,2000,5,0
boulgou,2000,10,0
boulgou,2000,11,0
boulgou,2000,12,0
boulgou,2001,6,0
boulgou,2001,7,0
boulgou,2001,12,0
boulgou,2002,2,0
boulgou,2002,9,0
boulgou,2003,10,0
boulgou,2004,2,0
boulgou,2004,6,0
boulgou,2005,2,0
boulgou,2005,10,0
boulgou,2005,12,0
boulgou,2006,5,0
boulgou,2006,6,0
boulgou,2006,7,0
boulgou,2006,12,0
boulgou,2007,10,0
boulgou,2008,2,0
boulgou,2008,3,0
boulgou,2008,5,0
boulgou,2008,6,0
boulgou,2009,1,0
boulgou,2010,2,0
boulgou,2010,3,0
boulgou,2010,4,0
boulgou,2010,7,0
boulgou,2011,1,0
boulgou,2011,2,0
boulgou,2011,3,1
boulgou,2011,4,1
boulgou,2011,5,2
boulgou,2011,6,0
boulgou,2011,7,0
boulgou,2011,9,0
boulgou,2011,12,0
boulgou,2012,1,0
boulgou,2012,2,0
boulgou,2012,3,1
boulgou,2012,4,0
boulgou,2012,5,0
boulgou,2012,6,0
boulgou,2012,7,0
boulgou,2012,8,0
boulgou,2012,9,0
boulgou,2012,10,0
boulgou,2012,11,0
boulgou,2012,12,1
boulgou,2013,1,0
boulgou,2013,2,0
boulgou,2013,3,0
boulgou,2013,5,0
boulgou,2013,6,0
boulgou,2013,7,0
boulgou,2013,8,0
boulgou,2013,9,1
boulgou,2013,10,1
boulgou,2013,11,0
boulgou,2013,12,0
boulgou,2014,1,1
boulgou,2014,2,0
boulgou,2014,3,0
boulgou,2014,4,3
boulgou,2014,5,2
